window_number,window_start,window_end,best_generation,best_fitness,average_environment_score,environment_score_std,minimum_environment_score,maximum_environment_score,ga_total_feed_g,fixed_total_feed_g,feed_saved_g,feed_saved_percent,cost_saved,ga_estimated_final_abw_g,fixed_estimated_final_abw_g,abw_improvement_g,ga_fitness_score,fixed_fitness_score,fitness_improvement,growth_target_status,ga_schedule_g
46,2024-02-15,2024-02-21,140,1777.054112085239,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.7318500339912,1050.0,180.26814996600876,17.16839523485798,5.002441161556742,21.661747340174923,21.45057313872503,0.21117420144989296,1777.0541120852404,1694.376948438267,82.67716364697344,Continue Optimization,124.21;124.29;124.25;124.24;124.25;124.29;124.19
47,2024-02-16,2024-02-22,195,1777.0818147368973,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.7028413433043,1050.0,180.29715865669573,17.171157967304353,5.003246152723307,21.661856890481875,21.45057313872503,0.2112837517568451,1777.0818147368966,1694.376948438267,82.70486629862967,Continue Optimization,124.23;124.27;124.25;124.26;124.18;124.24;124.26
48,2024-02-17,2024-02-23,140,1777.0931272042872,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.843428012097,1050.0,180.15657198790302,17.157768760752667,4.9993448726643095,21.662019158390454,21.45057313872503,0.21144601966542353,1777.0931272042872,1694.376948438267,82.71617876602022,Continue Optimization,124.25;124.27;124.24;124.26;124.27;124.28;124.26
49,2024-02-18,2024-02-24,199,1777.0910739628468,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.7925159086064,1050.0,180.20748409139355,17.16261753251367,5.000757683536172,21.661970125394085,21.45057313872503,0.2113969866690546,1777.0910739628468,1694.376948438267,82.71412552457991,Continue Optimization,124.26;124.27;124.23;124.24;124.25;124.26;124.28
50,2024-02-19,2024-02-25,191,1777.089445003854,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.7488689034318,1050.0,180.2511310965682,17.166774390149353,5.001968887929767,21.661928714527082,21.45057313872503,0.21135557580205244,1777.089445003854,1694.376948438267,82.71249656558712,Continue Optimization,124.25;124.26;124.28;124.22;124.25;124.26;124.23
51,2024-02-20,2024-02-26,175,1777.1077130418537,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.8147566281899,1050.0,180.1852433718101,17.160499368743817,5.000140503567728,21.662066507757526,21.45057313872503,0.21149336903249605,1777.1077130418546,1694.376948438267,82.73076460358766,Continue Optimization,124.27;124.25;124.25;124.26;124.26;124.26;124.27
52,2024-02-21,2024-02-27,172,1777.0770587566474,0.6502499999999999,1.1102230246251565e-16,0.65025,0.65025,869.7474893142213,1050.0,180.2525106857787,17.166905779597972,5.002007171530359,21.66186866866855,21.45057313872503,0.21129552994351997,1777.0770587566474,1694.376948438267,82.70011031838044,Continue Optimization,124.26;124.24;124.25;124.24;124.28;124.19;124.27
53,2024-02-22,2024-02-28,176,1790.7257318197867,0.6723214285714284,0.054063737894285736,0.65025,0.8047499999999996,876.7239460224911,1050.0,173.27605397750892,16.502481331191326,4.808410497875872,21.720656682446602,21.515425414388677,0.20523126805792558,1790.7257318197867,1712.082863827633,78.6428679921537,Continue Optimization,124.28;124.25;124.24;124.23;124.25;124.26;131.22
54,2024-02-23,2024-02-29,187,1814.7972766917478,0.7110357142857141,0.10102823408153101,0.65025,0.9212499999999997,888.9579514525248,1050.0,161.04204854747525,15.337337956902406,4.468916847192435,21.823578757676387,21.629517951576563,0.19406080609982368,1814.797276691747,1742.226234137089,72.57104255465788,Continue Optimization,124.26;124.23;124.26;124.25;124.24;131.19;136.51
55,2024-02-24,2024-03-01,182,1873.7955820928628,0.7497499999999998,0.12038657969818951,0.65025,0.9212499999999997,900.885490496746,1050.0,149.114509503254,14.20138185745276,4.137927638715297,21.926215877061978,21.74361048876445,0.18260538829752804,1873.7955820928628,1772.3696044465453,101.4259776463175,Target Growth Achieved,124.15;124.25;124.16;124.20;131.21;136.46;136.44
